"07459: Befolkning, etter region, Ã…r og statistikkvariabel"

"region";"Ã…r";"Personer"
"K-4601 Bergen";"1986";207922
"K-4601 Bergen";"1987";208886
"K-4601 Bergen";"1988";209831
"K-4601 Bergen";"1989";211095
"K-4601 Bergen";"1990";211826
"K-4601 Bergen";"1991";213344
"K-4601 Bergen";"1992";216066
"K-4601 Bergen";"1993";218144
"K-4601 Bergen";"1994";219884
"K-4601 Bergen";"1995";221717
"K-4601 Bergen";"1996";223238
"K-4601 Bergen";"1997";224308
"K-4601 Bergen";"1998";225439
"K-4601 Bergen";"1999";227276
"K-4601 Bergen";"2000";229496
"K-4601 Bergen";"2001";230948
"K-4601 Bergen";"2002";233291
"K-4601 Bergen";"2003";235423
"K-4601 Bergen";"2004";237430
"K-4601 Bergen";"2005";239209
"K-4601 Bergen";"2006";242158
"K-4601 Bergen";"2007";244620
"K-4601 Bergen";"2008";247746
"K-4601 Bergen";"2009";252051
"K-4601 Bergen";"2010";256600
"K-4601 Bergen";"2011";260392
"K-4601 Bergen";"2012";263762
"K-4601 Bergen";"2013";267950
"K-4601 Bergen";"2014";271949
"K-4601 Bergen";"2015";275112
"K-4601 Bergen";"2016";277391
"K-4601 Bergen";"2017";278556
"K-4601 Bergen";"2018";279792
"K-4601 Bergen";"2019";281190
"K-4601 Bergen";"2020";283929
"K-4601 Bergen";"2021";285601
"K-4601 Bergen";"2022";286930
"K-4601 Bergen";"2023";289330
"K-4601 Bergen";"2024";291940
